search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
living in seattle as a student,/watch?v=eP_matCcDrg&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@monicachurchrealtor,Monica Church Seattle Real Estate,7 Things I Wish I Knew Before Moving To Seattle (from California!),259K,2 years,Interested in buying or selling in the Seattle/Bellevue area? Get in touch with me at: https://monicachurchrealestate.com/ or ...,2026-01-22 03:25:11.316637
living in seattle as a student,/watch?v=7J8y96a9nkM&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW500gcJCYcKAYcqIYzv,/@lifeofrokage,rokage,life in college living alone in seattle,312,2 months,some days in my college life living alone in seattle BACKPACK IN VIDEO: https://www.tiktok.com/t/ZTMQfR52g/ follow me on my ...,2026-01-22 03:25:11.318326
living in seattle as a student,/watch?v=OjSbzmftVpA&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW500gcJCYcKAYcqIYzv,/@rinahra,Rin Ahra,"THINGS TO KNOW BEFORE MOVING TO SEATTLE *brutally honest* | good, bad, and ugly | seattle fashion",127K,3 years,biggest takeaway is that there are literally no bugs in seattle tbh thanks for watching ✨ Restricted Parking Zone Information: ...,2026-01-22 03:25:11.320118
living in seattle as a student,/watch?v=znZCU6W3yBc&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW500gcJCYcKAYcqIYzv,/@CNBCMakeIt,CNBC Make It,"Living On $27K A Year In Seattle, WA | Millennial Money",285K,2 years,"Chi Baik, 26, lives in Seattle, Washington and earns $27000 a year as a Ph.D. student. Baik used to work as a teacher outside ...",2026-01-22 03:25:11.321535
living in seattle as a student,/watch?v=FrSo54QK098&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@UWcas,UW College of Arts & Sciences,Living and Learning in Seattle,858,2 months,"Seattle, Washington and the surrounding region are a significant part of our story in the College of Arts & Sciences. With its rich ...",2026-01-22 03:25:11.323200
living in seattle as a student,/shorts/odDCVi88moM,/@YudiJ,Yudi J,Is $120k salary enough to live in Seattle !!!,25K,11 months,"FREE weekly newsletter and join 30624+ community members, where I share actionable study abroad tips, job search advice, ...",2026-01-22 03:25:11.325464
living in seattle as a student,/watch?v=M-QawCnlK8w&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@gabbbyle,Gabby Le,"Living Alone in Seattle: Lunar New Year festival, my 9-5, run club",79K,11 months,affiliate links ⛓ Open Mediation App free trial! https://bit.ly/3Tpganu ClassPass free trial! https://bit.ly/3ui7nuZ music & sound ...,2026-01-22 03:25:11.326661
living in seattle as a student,/watch?v=wk8X2giqWM0&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@KiaraMadisen,Kiara Madisen,"Life as a UW Student in Seattle, WA | ft. Kam Schalk",76K,4 years,Finally got to live out my dream of exploring life as a student at my rival university! Kam and I reunite for the best 24 hour trip full of ...,2026-01-22 03:25:11.328257
living in seattle as a student,/watch?v=0ScAcbma5yE&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@AmaraAnigbo,Amara Anigbo,5 things you MUST know before moving to Seattle,55K,4 years,I have been living in Seattle for a while and I wanted to make a video about the 5 things you should know before moving out to ...,2026-01-22 03:25:11.330111
living in seattle as a student,/watch?v=ZYy1G_t4yLE&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@monicachurchrealtor,Monica Church Seattle Real Estate,Moving To Seattle in 2026? 8 Things You NEED To Know Before You Get Here...,72K,1 year,"Looking to buy or sell in and around Seattle? I can help! I am Monica Church, Seattle/Bellevue Real Estate Broker. Connect with ...",2026-01-22 03:25:11.331502
living in seattle as a student,/shorts/Y5Cm2EPhiyA,/@SalaryTransparentStreet,Salary Transparent Street,"#SoftwareEngineer in Seattle, WA📍",840K,3 years,"SoftwareEngineer in Seattle, WA  #salarytransparentstreet #salarytransparency #paytransparency #howmuchdoyoumake ...",2026-01-22 03:25:11.333342
living in seattle as a student,/watch?v=wqffXo6euV8&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW500gcJCYcKAYcqIYzv,/@camdendavid,Camden David,23 Tips I Wish I Knew Before Visiting Seattle,101K,1 year,"Every Tuesday, I share a travel tip you'll actually use — like advice from a friend who travels nonstop ...",2026-01-22 03:25:11.334672
living in seattle as a student,/watch?v=0iJK3a642ug&t=46s&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@KellyLira,Kelly Lira,so you want to move to seattle... | q&a,39K,2 years,I answer a few questions about living in Seattle. Hopefully this helps you make your decision if you're thinking about moving here!,2026-01-22 03:25:11.336581
living in seattle as a student,/watch?v=X0MyNnVXBN0&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW500gcJCYcKAYcqIYzv,/@seattleliving1O1,Seattle Living 1O1,"INSIDER GUIDE To University District Seattle Washington: Campuses, Food, & More | Life In Seattle WA",3K,1 year,Are you thinking about moving to Seattle Washington or just curious about what University District Seattle Washington has to offer ...,2026-01-22 03:25:11.338602
