search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
uw seattle dorm tour,/watch?v=zMWjaUwJoBk&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWTacomaExtended,UW Tacoma Extended,Studio Room Tour Court 17 Summer 2021 / UW Tacoma,5.7K,4 years,https://www.tacoma.uw.edu/housing --- The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu ...,2026-01-22 03:21:52.843994
uw seattle dorm tour,/shorts/7Lui6fEEs7E,/@UWHFS,UWHFS,UW HFS | Tour of Maple Hall,3.6K,7 months,Make sure you like and subscribe for more content coming soon! To learn more about University of Washington's Housing & Food ...,2026-01-22 03:21:52.860043
uw seattle dorm tour,/watch?v=OwimmlkGvOI&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@dobochobo,dobochobo,dorm room tour 🌱🏠,975K,4 years,"... awaited dorm tour!! this video is pretty self-explanatory, but here's a look at how i transformed my university of washington dorm ...",2026-01-22 03:21:52.864862
uw seattle dorm tour,/watch?v=8jFrV65bKHs&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXLSBwkJhwoBhyohjO8%3D,/@maybeitsnavy,maybeitsnavy,Freshman Dorm Tour - Seattle University,2.1K,1 year,"After years of watching hundreds of dorm tours, it's finally time I make one of my own.",2026-01-22 03:21:52.869323
uw seattle dorm tour,/watch?v=lN7mnmijW8w&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@bayvlogs8945,Bay vlogs,My college dorm tour!!/ University of Washington,5K,8 years,Here is a tour of my dorm here in Haggett hall at the UW!,2026-01-22 03:22:01.279242
uw seattle dorm tour,/watch?v=okIKKVneQj4&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@alyssalecca3608,Alyssa Lecca,UW Dorm Tour 2021 - Elm Hall,6.7K,4 years,Subscribe to for more college dorm tours and travel videos! ​@alyssalecca3608.,2026-01-22 03:22:01.281386
uw seattle dorm tour,/watch?v=ZLptqTABfko&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,"UW HFS | McMahon Hall - Single Room, Semi-Private Bath 360° Tour",8.9K,5 years,Make sure you like and subscribe for more content coming soon! To learn more about University of Washington's Housing & Food ...,2026-01-22 03:22:01.282666
uw seattle dorm tour,/watch?v=shNx-3trQmA&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,UW HFS | Poplar Hall Virtual Tour,38K,10 years,Learn more about Poplar Hall: http://bit.ly/UWPoplarHall To learn more about University of Washington's Housing & Food Services ...,2026-01-22 03:22:01.283889
uw seattle dorm tour,/watch?v=5NAGe2kZB4A&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,UW HFS | Hansee Hall Virtual Tour,35K,7 years,Striking Tudor architecture and beautiful common areas. This 24-hour quiet hall houses undergraduates and upperclassmen.,2026-01-22 03:22:01.285459
uw seattle dorm tour,/watch?v=svro74-gsPQ&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@universityofwashington,UW (University of Washington),UW students move into campus housing during Husky Move-In week 2024,4.5K,1 year,Mild fall temperatures this week helped welcome the first group of students who moved into University of Washington residence ...,2026-01-22 03:22:01.286754
uw seattle dorm tour,/watch?v=OMcXkXn47UQ&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXLSBwkJhwoBhyohjO8%3D,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hidden Gems,37K,7 years,"UW campus tour guide Liam shows off some of the best kept secrets on campus for studying, hanging out or quiet reflection.",2026-01-22 03:22:01.288503
uw seattle dorm tour,/watch?v=Y-cn6v6VGj4&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@CampusMania,CampusMania,University of Washington | UW | 8K Campus Drone Tour,43K,4 years,An 8K tour of University of Washington campus! Check below for selected chapters of the video. Washington Universities Playlist: ...,2026-01-22 03:22:01.290495
uw seattle dorm tour,/watch?v=9xIpSs_CQfo&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@jessicastarsinspace2563,Jessicastarsinspace,Dorm Room Tour 2019 | University of Washington,3.9K,6 years,that picture wall was so much effort so save yourself the time and just get a tapestry haha Music: Summer's Tides by Oshóva ...,2026-01-22 03:22:01.292201
uw seattle dorm tour,/watch?v=-5Ra470sCxE&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@unconventionals7165,Unconventionals,Dorm Tour | University of Washington,131K,9 years,Please don't forget to LIKE this video so that others like you can find this video! :) This is a tour of a dorm in University of ...,2026-01-22 03:22:01.294009
uw seattle dorm tour,/watch?v=YE1qP3C1iZ0&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,"UW HFS | Double Room, Private Bath 360° Tour",21K,6 years,Move your phone or click and drag your mouse left/right/up/down on the video to view the room in 360°. The second half of the ...,2026-01-22 03:22:01.295191
uw seattle dorm tour,/watch?v=vIu_Y_O-9yQ&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,UW HFS | Elm Hall Virtual Tour,59K,10 years,"Learn more about Elm Hall here: http://bit.ly/UWElmHall To learn more about University of Washington's Housing & Food Services, ...",2026-01-22 03:22:01.296961
uw seattle dorm tour,/watch?v=BIWAo4DKyLo&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@universityofwashington,UW (University of Washington),University of Washington student 'move-in' 2023,8.9K,2 years,"From September 19th to 22nd, thousands of UW students move into campus housing and prepare for the new academic year.",2026-01-22 03:22:01.298250
uw seattle dorm tour,/watch?v=yozPIkFN6SY&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@nanawangfiveone,Nana Wang,Dorm Tour *Maple Hall at UW*,4.6K,3 years,not me filming dorm tour during my move out day lol 我覺得我那天臉水腫 - Song: Jonas Schmidt ft. henrikz - Fall Again ...,2026-01-22 03:22:01.299760
uw seattle dorm tour,/watch?v=_tr9xxW0QBg&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,"UW HFS | Four Person Suite, Private Bath 360° Tour",18K,6 years,Move your phone or click and drag your mouse left/right/up/down on the video to view the room in 360°. The second half of the ...,2026-01-22 03:22:01.300975
uw seattle dorm tour,/watch?v=c8WeII08hEk&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@ProwalkTours,Prowalk Tours,"University of Washington Campus Tour 🌸 Cherry Blossoms in The Quad - Seattle, WA",12K,9 months,Enjoy a colorful walk through the beautiful University of Washington campus in Seattle during peak cherry blossom season.,2026-01-22 03:22:01.302829
uw seattle dorm tour,/watch?v=rH9hxEKThoY&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXLSBwkJhwoBhyohjO8%3D,/@UWHFS,UWHFS,UW HFS | Alder Hall District Market Tour,5.1K,6 years,For more information on the District Market visit our website at bit.ly/UWDistrictMarket Make sure you like and subscribe for more ...,2026-01-22 03:22:01.304011
uw seattle dorm tour,/watch?v=Edf8i3Wpbp4&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@seattle.a2fklesis,A2F UW & Klesis SeattleU,University of Washington Willow Hall Dorm Tour Part 1 (Dining Hall & Recreational Areas),15K,5 years,"We visited Savannah (an RA at Willow Hall at the University of Washington) and she showed us around her room, and Willow ...",2026-01-22 03:22:01.305965
uw seattle dorm tour,/shorts/Iajt3oVTEy8,/@skylerphillips9646,Skyler Phillips,UW-Milwaukee Sandburg Single Room Tour🐾💛,4.6K,6 years,UW Milwaukee Sandburg Single Room Tour. This is room C.,2026-01-22 03:22:01.308361
uw seattle dorm tour,/watch?v=YXHjL9MAnpI&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,UW HFS | Graduate Housing - Mercer Court Studio 360° Tour,5.5K,5 years,Make sure you like and subscribe for more content coming soon! To learn more about University of Washington's Housing & Food ...,2026-01-22 03:22:09.693273
uw seattle dorm tour,/shorts/Kkxz6--bH5Q,/@miayilin,Mia Yilin,Stanford University Dorm Room Tour 🌲💫 #collegelife #university #stanford #vlog #dorm #study,2.2M,3 months,Come see my Stamford dorm with me for the first time i was honestly quite nervous opening this door especially after walking ...,2026-01-22 03:22:09.695917
uw seattle dorm tour,/watch?v=6BYx6JPCf0Q&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,"UW HFS | Single Room, Private Bath 360° Tour",8K,5 years,"Single Room, Private Baths can be found in Alder Hall, Elm Hall, Lander Hall, Madrona Hall, Maple Hall, McCarty Hall, Oak Hall, ...",2026-01-22 03:22:09.697406
uw seattle dorm tour,/watch?v=NE7guzJ1qA4&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@ejaaym,ej,COLLEGE DORM TOUR - MCCARTY HALL 2021  ♡ | UNIVERSITY OF WA,4.2K,4 years,College dorm tour at UOFWA :) MCCARTY HALL Related: College Dorm Tour Room Tour University Of Washington Seattle Vlog.,2026-01-22 03:22:09.699642
uw seattle dorm tour,/watch?v=uv04vTQ3UDA&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@olivia-pongsrida,O L I V I A,DORM ROOM TOUR 2018 | UNIVERSITY OF WASHINGTON - MCMAHON HALL (SINGLE ROOM),19K,7 years,excuse my shakey hands and cracky voice over. enjoy x song: lakey inspired - too bad https://soundcloud.com/lakeyinspired/,2026-01-22 03:22:09.701316
uw seattle dorm tour,/watch?v=5n6Z-qy4GMY&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@uw-milwaukee,UW-Milwaukee,Tour Tenshi's UW-Milwaukee Kenilworth single room,11K,7 years,"Tenshi's single room is part of a suite with two other single rooms in Kenilworth Square Apartments, a part of the University of ...",2026-01-22 03:22:09.702553
uw seattle dorm tour,/shorts/3bFAD3NNd-A,/@lifeofmeili,Meili Zhang,DORM BED HEIGHTS?!😳 #shorts,340K,2 years,Subscribe & follow me on TikTok for more! All my links are in my channel bio ...,2026-01-22 03:22:09.703777
uw seattle dorm tour,/watch?v=3rDDTnwEoPI&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@hercampuswashington5824,Her Campus Washington,UW North Campus and Dorm Tour | Her Campus UW,18K,6 years,Visit Us At↓ https://www.hercampus.com/school/wash... ↓Follow Us Here↓ Instagram: @uwhercampus Twitter: @HCwashington ...,2026-01-22 03:22:09.704926
uw seattle dorm tour,/shorts/TQBJLLwzTyI,/@uwwhitewater,University of Wisconsin-Whitewater,UWW dorm must-haves #uwwhitewater,2K,4 months,Warhawks show off their coolest dorm must-haves! (UW-Whitewater video/Salmai Valadez),2026-01-22 03:22:09.706699
uw seattle dorm tour,/watch?v=D4R-YZ-VZhQ&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@adamgresch,Adam Gresch,Why You Should Go to the University of Washington,164K,7 years,A peek into what actually makes the University of Washington such a great place to go to school. Hint: It's not all the usual stuff you ...,2026-01-22 03:22:09.707878
uw seattle dorm tour,/watch?v=dNt1qnApngE&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@its.valerie.e,Valerie E ♡,"my freshman year dorm 🧸ྀི‎♡‧ | university of washington dorm tour, mccarty hall",115,1 month,୭  ྀི‎♡‧˚  ✧˚.  *:･ the dorm tour is finally here! this video took way too long to edit considering it was only 2 and a half ...,2026-01-22 03:22:09.709193
uw seattle dorm tour,/watch?v=YQ-jjrPPpzU&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@universityofwashington,UW (University of Washington),UW Campus Tour: Athletic Events,28K,7 years,"Interested in taking in the action at a Huskies football game? How about women's basketball? Tennis? We cover all that and more, ...",2026-01-22 03:22:09.711227
uw seattle dorm tour,/shorts/5tFbbQ8P618,/@UWStoutHousing,UW-Stout | University Housing,"Things in a Residence Hall Room - A UW-Stout, Housing Tik Tok",2.4K,5 years,Here is the official list of the standard-issue items you'll find in your residence hall room when you first move-in!,2026-01-22 03:22:09.712514
uw seattle dorm tour,/watch?v=T6eEuvH3Z8o&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,UW HFS | McMahon Hall Virtual Tour,36K,5 years,Learn more about McMahon Hall here: http://bit.ly/UWMcMahonHall Make sure you like and subscribe for more content coming ...,2026-01-22 03:22:09.715840
uw seattle dorm tour,/watch?v=-m_nT0hoWT8&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,UW HFS | How To Loft & Unloft Your Bed,24K,7 years,"To learn more about living on campus at the University of Washington, visit our website at https://hfs.uw.edu/ FACEBOOK ...",2026-01-22 03:22:09.717132
uw seattle dorm tour,/watch?v=oMSCas0dpfs&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWTacomaExtended,UW Tacoma Extended,Two Bedroom Room Tour Court 17 Summer 2021 / UW Tacoma,7.3K,4 years,https://www.tacoma.uw.edu/housing --- The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu ...,2026-01-22 03:22:09.718395
uw seattle dorm tour,/shorts/vUObnZII6mU,/@BestCollegeAidUSA,Best College Aid in English,Guaranteed Admissions at Washington State University #Shorts #CampusTour,41K,3 years,Guaranteed Admissions at Washington State University Washington State University offers assured admissions to students.,2026-01-22 03:22:09.719553
uw seattle dorm tour,/shorts/vGMHoZt2aME,/@HomeProAssociates,HomePro Associates,Visiting University of Washington Bothell Campus!,1.2K,1 year,"Exploring the vibrant campus life at University of Washington Bothell! From scenic views to bustling student hubs, there's so ...",2026-01-22 03:22:09.728261
